arm,domain,domain_label,n_tokens,mean_kld_nats,mean_kld_se_nats,ci95_lo_nats,ci95_hi_nats,top1_agreement_pct,rms_delta_p_pct,ppl_reference,ppl_arm,perturbation,evidence,protocol,source_cell
UD-Q6_K,wikitext2,prose,65536,0.003321,0.000126,0.003074,0.003568,97.504,1.595,5.78929,5.794523,weights,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q6_K-wikitext2-kld
UD-Q6_K,code,code,65536,0.005829,0.000233,0.005372,0.006286,99.142,3.339,1.180632,1.182498,weights,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q6_K-code-kld
UD-Q6_K,humaneval,task prompts,18432,0.010403,0.000448,0.009525,0.011281,98.045,4.71,1.521981,1.524535,weights,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q6_K-humaneval-kld
UD-Q5_K_XL,wikitext2,prose,65536,0.004465,0.000281,0.003914,0.005016,97.141,1.776,5.78929,5.794185,weights,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q5_K_XL-wikitext2-kld
UD-Q5_K_XL,code,code,65536,0.010285,0.000458,0.009387,0.011183,98.87,4.375,1.180632,1.186223,weights,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q5_K_XL-code-kld
UD-Q5_K_XL,humaneval,task prompts,18432,0.017285,0.000703,0.015907,0.018663,97.339,5.951,1.521981,1.524821,weights,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q5_K_XL-humaneval-kld
UD-Q4_K_XL,wikitext2,prose,65536,0.008207,0.00034,0.007541,0.008873,96.215,2.456,5.78929,5.795792,weights,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q4_K_XL-wikitext2-kld
UD-Q4_K_XL,code,code,65536,0.021529,0.000834,0.019894,0.023164,98.43,6.238,1.180632,1.186201,weights,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q4_K_XL-code-kld
UD-Q4_K_XL,humaneval,task prompts,18432,0.036129,0.001534,0.033122,0.039136,95.894,8.388,1.521981,1.545521,weights,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q4_K_XL-humaneval-kld
UD-Q6_K_XL (KV-only control),code,code,65536,0.002955,0.000127,0.002706,0.003204,99.401,2.392,1.178807,1.180905,kv_dtype_q4_0_vs_f16,measured,"SSA divergence (llama-perplexity --kl-divergence), n_ctx 2048, q4_0 KV, seed 20260830",ssa-Q6_K_XL-code-kld-e2
