panel,series,quantile,code_or_cell_kld_nats,prose_or_mean_kld_nats,ratio,ratio_lo,ratio_hi,interval_halfwidth_pct,interval_basis,rankable_across_arms,n_tokens,evidence
a,UD-Q6_K,median,7e-06,0.001392,0.005,0.0047,0.0054,7.18,print_precision_half_ulp,false,65536,measured
a,UD-Q6_K,p90,0.003029,0.006742,0.4493,0.4492,0.4494,0.02,print_precision_half_ulp,true,65536,measured
a,UD-Q6_K,p95,0.016109,0.010549,1.5271,1.5269,1.5272,0.01,print_precision_half_ulp,true,65536,measured
a,UD-Q6_K,p99,0.142839,0.028639,4.9876,4.9875,4.9877,0,print_precision_half_ulp,true,65536,measured
a,UD-Q6_K,p99.9,0.623575,0.098167,6.3522,6.3521,6.3522,0,print_precision_half_ulp,true,65536,measured
a,UD-Q6_K,mean,0.005829,0.003321,1.7552,1.6234,1.8973,7.8,tool_reported_se,true,65536,measured
a,UD-Q6_K,max,1.659922,2.639075,0.629,0.629,0.629,0,print_precision_half_ulp,true,65536,measured
a,UD-Q5_K_XL,median,1e-05,0.00181,0.0055,0.0052,0.0058,5.03,print_precision_half_ulp,false,65536,measured
a,UD-Q5_K_XL,p90,0.00479,0.008856,0.5409,0.5408,0.541,0.02,print_precision_half_ulp,true,65536,measured
a,UD-Q5_K_XL,p95,0.026311,0.013936,1.888,1.8879,1.8881,0.01,print_precision_half_ulp,true,65536,measured
a,UD-Q5_K_XL,p99,0.250389,0.037323,6.7087,6.7086,6.7088,0,print_precision_half_ulp,true,65536,measured
a,UD-Q5_K_XL,p99.9,1.064613,0.124839,8.5279,8.5278,8.5279,0,print_precision_half_ulp,true,65536,measured
a,UD-Q5_K_XL,mean,0.010285,0.004465,2.3035,2.0706,2.5676,10.79,tool_reported_se,true,65536,measured
a,UD-Q5_K_XL,max,5.568441,6.849877,0.8129,0.8129,0.8129,0,print_precision_half_ulp,true,65536,measured
a,UD-Q4_K_XL,median,1.7e-05,0.003509,0.0048,0.0047,0.005,2.96,print_precision_half_ulp,false,65536,measured
a,UD-Q4_K_XL,p90,0.010006,0.016333,0.6126,0.6126,0.6127,0.01,print_precision_half_ulp,true,65536,measured
a,UD-Q4_K_XL,p95,0.0558,0.025546,2.1843,2.1842,2.1844,0,print_precision_half_ulp,true,65536,measured
a,UD-Q4_K_XL,p99,0.562891,0.069578,8.0901,8.09,8.0901,0,print_precision_half_ulp,true,65536,measured
a,UD-Q4_K_XL,p99.9,2.193524,0.259651,8.448,8.448,8.448,0,print_precision_half_ulp,true,65536,measured
a,UD-Q4_K_XL,mean,0.021529,0.008207,2.6232,2.4213,2.8426,8.03,tool_reported_se,true,65536,measured
a,UD-Q4_K_XL,max,5.54476,7.600239,0.7296,0.7296,0.7296,0,print_precision_half_ulp,true,65536,measured
b,UD-Q6_K,median,7e-06,0.005829,0.0012,,,,,true,65536,measured
