arm,ctx_requested_tokens,tensor_split,status,decode_tok_s,failure_mode,vram_peak_gpu0_mib,vram_peak_gpu1_mib,imbalance_mib,mtp_acceptance,rep,evidence
UD-Q6_K_XL,196608,default,failed,,compute-buffer-oom,13810,15616,1806,,1,measured
UD-Q6_K_XL,196608,"52,48",failed,,compute-buffer-oom,15090,15538,448,,1,measured
UD-Q6_K_XL,196608,"54,46",failed,,compute-buffer-oom,15644,14986,658,,1,measured
UD-Q6_K_XL,196608,"56,44",loaded,17.26,,15416,15840,424,0.8971,1,measured
UD-Q6_K_XL,196608,"58,42",failed,,compute-buffer-oom,12810,10594,2216,,1,measured
UD-Q6_K_XL,196608,"60,40",not_tested,,,,,,,1,measured
UD-Q6_K_XL,196608,"62,38",not_tested,,,,,,,1,measured
UD-Q6_K,262144,default,failed,,compute-buffer-oom,14024,15624,1600,,1,measured
UD-Q6_K,262144,"52,48",not_tested,,,,,,,1,measured
UD-Q6_K,262144,"54,46",failed,,compute-buffer-oom,15188,15848,660,,1,measured
UD-Q6_K,262144,"56,44",loaded,10.22,,15528,15586,58,0.592,1,measured
UD-Q6_K,262144,"58,42",loaded,10.75,,15322,15082,240,0.592,1,measured
UD-Q6_K,262144,"60,40",failed,,compute-buffer-oom,11330,8914,2416,,1,measured
UD-Q6_K,262144,"62,38",failed,,compute-buffer-oom,11626,8616,3010,,1,measured
UD-Q5_K_XL,262144,default,failed,,compute-buffer-oom,13540,15070,1530,,1,measured
UD-Q5_K_XL,262144,"52,48",not_tested,,,,,,,1,measured
UD-Q5_K_XL,262144,"54,46",loaded,10.82,,14660,15402,742,0.516,1,measured
UD-Q5_K_XL,262144,"56,44",loaded,10.78,,14946,15112,166,0.516,1,measured
UD-Q5_K_XL,262144,"58,42",loaded,8.5,,15498,15470,28,0.516,1,measured
UD-Q5_K_XL,262144,"60,40",loaded,10.67,,15260,14084,1176,0.516,1,measured
UD-Q5_K_XL,262144,"62,38",loaded,10.44,,15546,13796,1750,0.516,1,measured
UD-Q4_K_XL,262144,default,loaded,12.14,,12116,15094,2978,0.6176,1,measured
UD-Q4_K_XL,262144,"52,48",not_tested,,,,,,,1,measured
UD-Q4_K_XL,262144,"54,46",not_tested,,,,,,,1,measured
UD-Q4_K_XL,262144,"56,44",loaded,12.1,,13334,14780,1446,0.6176,1,measured
UD-Q4_K_XL,262144,"58,42",not_tested,,,,,,,1,measured
UD-Q4_K_XL,262144,"60,40",not_tested,,,,,,,1,measured
UD-Q4_K_XL,262144,"62,38",not_tested,,,,,,,1,measured
