arm,cell_key,ctx_requested_tokens,tensor_split,rep,tag,ctxcp,ok,failure_mode,n_ctx_reported,decode_tok_s,prefill_tok_s,prefill_frac,prefill_tokens,vram_peak_gpu0_mib,vram_peak_gpu1_mib,imbalance_mib,mtp_acceptance,draft_n,draft_n_accepted,evidence
UD-Q4_K_XL,"262144:56,44:1:base",262144,"56,44",1,base,4,true,,262144,12.1044,561.6,0.948,248522,13334,14780,1446,0.6176,170,105,measured
UD-Q4_K_XL,262144:default:1:base,262144,default,1,base,4,true,,262144,12.1372,545,0.948,248522,12116,15094,2978,0.6176,170,105,measured
UD-Q4_K_XL,"245760:56,44:1:base",245760,"56,44",1,base,4,true,,245760,12.0075,582.1,0.9478,232933,13042,14398,1356,0.5642,179,101,measured
UD-Q4_K_XL,245760:default:1:base,245760,default,1,base,4,true,,245760,12.0182,585.1,0.9478,232933,11844,15598,3754,0.5642,179,101,measured
UD-Q4_K_XL,"229376:56,44:1:base",229376,"56,44",1,base,4,true,,229376,11.8068,607,0.9467,217140,12754,14016,1262,0.4948,192,95,measured
UD-Q4_K_XL,229376:default:1:base,229376,default,1,base,4,true,,229376,11.8252,606.7,0.9467,217140,11574,15198,3624,0.4948,192,95,measured
UD-Q4_K_XL,"212992:54,46:1:base",212992,"54,46",1,base,4,true,,212992,15.8541,629,0.9469,201672,12216,13878,1662,0.7905,148,117,measured
UD-Q4_K_XL,"212992:56,44:1:base",212992,"56,44",1,base,4,true,,212992,15.9588,630.2,0.9469,201672,12460,13632,1172,0.7905,148,117,measured
UD-Q4_K_XL,"212992:56,44:2:base",212992,"56,44",2,base,4,true,,212992,13.1168,630,0.9469,201672,12460,13632,1172,0.592,174,103,measured
UD-Q4_K_XL,"212992:56,44:3:base",212992,"56,44",3,base,4,true,,212992,13.3307,628,0.9469,201672,12460,13632,1172,0.592,174,103,measured
UD-Q4_K_XL,"212992:58,42:1:base",212992,"58,42",1,base,4,true,,212992,15.88,625.8,0.9469,201672,12948,13148,200,0.7905,148,117,measured
UD-Q4_K_XL,"212992:58,42:2:base",212992,"58,42",2,base,4,true,,212992,12.8713,577.5,0.9469,201672,12948,13148,200,0.592,174,103,measured
UD-Q4_K_XL,"212992:58,42:3:base",212992,"58,42",3,base,4,true,,212992,13.3262,628.5,0.9469,201672,12948,13148,200,0.592,174,103,measured
UD-Q4_K_XL,"212992:60,40:1:base",212992,"60,40",1,base,4,true,,212992,15.6034,615.6,0.9469,201672,13420,12672,748,0.7905,148,117,measured
UD-Q4_K_XL,"212992:62,38:1:base",212992,"62,38",1,base,4,true,,212992,15.8769,612.7,0.9469,201672,13670,12418,1252,0.7905,148,117,measured
UD-Q4_K_XL,212992:default:1:base,212992,default,1,base,4,true,,212992,15.6992,628.6,0.9469,201672,11298,14796,3498,0.7905,148,117,measured
UD-Q5_K_XL,"262144:54,46:1:base",262144,"54,46",1,base,4,true,,262144,10.8237,522.3,0.948,248522,14660,15402,742,0.516,188,97,measured
UD-Q5_K_XL,"262144:54,46:2:base",262144,"54,46",2,base,4,true,,262144,12.7043,524.3,0.948,248522,14660,15402,742,0.6937,160,111,measured
UD-Q5_K_XL,"262144:54,46:3:base",262144,"54,46",3,base,4,true,,262144,12.9404,524.2,0.948,248522,14660,15402,742,0.7338,154,113,measured
UD-Q5_K_XL,"262144:56,44:1:base",262144,"56,44",1,base,4,true,,262144,10.7769,521.1,0.948,248522,14946,15112,166,0.516,188,97,measured
UD-Q5_K_XL,"262144:56,44:2:base",262144,"56,44",2,base,4,true,,262144,12.514,497.7,0.948,248522,14946,15112,166,0.6937,160,111,measured
UD-Q5_K_XL,"262144:56,44:3:base",262144,"56,44",3,base,4,true,,262144,12.9139,520.6,0.948,248522,14946,15112,166,0.7338,154,113,measured
UD-Q5_K_XL,"262144:58,42:1:base",262144,"58,42",1,base,4,true,,262144,8.5027,530.8,0.948,248522,15498,15470,28,0.516,188,97,measured
UD-Q5_K_XL,"262144:60,40:1:base",262144,"60,40",1,base,4,true,,262144,10.667,499.2,0.948,248522,15260,14084,1176,0.516,188,97,measured
UD-Q5_K_XL,"262144:62,38:1:base",262144,"62,38",1,base,4,true,,262144,10.4401,470.5,0.948,248522,15546,13796,1750,0.516,188,97,measured
UD-Q5_K_XL,262144:default:1:base,262144,default,1,base,4,false,compute-buffer-oom,0,,,,0,13540,15070,1530,,,,measured
UD-Q6_K,"262144:54,46:1:base",262144,"54,46",1,base,4,false,compute-buffer-oom,0,,,,0,15188,15848,660,,,,measured
UD-Q6_K,"262144:56,44:1:base",262144,"56,44",1,base,4,true,,262144,10.22,490.3,0.948,248522,15528,15586,58,0.592,174,103,measured
UD-Q6_K,"262144:56,44:2:base",262144,"56,44",2,base,4,true,,262144,14.9922,506.1,0.948,248522,15528,15586,58,0.9111,135,123,measured
UD-Q6_K,"262144:56,44:3:base",262144,"56,44",3,base,4,true,,262144,11.7142,507.6,0.948,248522,15528,15586,58,0.6105,172,105,measured
UD-Q6_K,"262144:58,42:1:base",262144,"58,42",1,base,4,true,,262144,10.749,468.7,0.948,248522,15322,15082,240,0.592,174,103,measured
UD-Q6_K,"262144:58,42:1:ctxcp32",262144,"58,42",1,ctxcp32,32,true,,262144,11.4816,504.3,0.948,248522,15322,15082,240,0.592,174,103,measured
UD-Q6_K,"262144:58,42:2:base",262144,"58,42",2,base,4,true,,262144,14.1579,494.6,0.948,248522,15322,15082,240,0.9111,135,123,measured
UD-Q6_K,"262144:58,42:3:base",262144,"58,42",3,base,4,true,,262144,11.9023,501.9,0.948,248522,15322,15082,240,0.6105,172,105,measured
UD-Q6_K,"262144:60,40:1:base",262144,"60,40",1,base,4,false,compute-buffer-oom,0,,,,0,11330,8914,2416,,,,measured
UD-Q6_K,"262144:62,38:1:base",262144,"62,38",1,base,4,false,compute-buffer-oom,0,,,,0,11626,8616,3010,,,,measured
UD-Q6_K,262144:default:1:base,262144,default,1,base,4,false,compute-buffer-oom,0,,,,0,14024,15624,1600,,,,measured
UD-Q6_K_XL,"229376:56,44:1:base",229376,"56,44",1,base,4,false,compute-buffer-oom,0,,,,0,12120,11284,836,,,,measured
UD-Q6_K_XL,"229376:56,44:1:retest",229376,"56,44",1,retest,4,false,compute-buffer-oom,0,,,,0,12120,11284,836,,,,measured
UD-Q6_K_XL,"212992:56,44:1:base",212992,"56,44",1,base,4,true,,212992,12.9816,559.3,0.9469,201672,15656,15414,242,0.5886,175,103,measured
UD-Q6_K_XL,"196608:52,48:1:base",196608,"52,48",1,base,4,false,compute-buffer-oom,0,,,,0,15090,15538,448,,,,measured
UD-Q6_K_XL,"196608:54,46:1:base",196608,"54,46",1,base,4,false,compute-buffer-oom,0,,,,0,15644,14986,658,,,,measured
UD-Q6_K_XL,"196608:56,44:1:base",196608,"56,44",1,base,4,true,,196608,17.2599,592,0.9474,186265,15416,15840,424,0.8971,136,122,measured
UD-Q6_K_XL,"196608:58,42:1:base",196608,"58,42",1,base,4,false,compute-buffer-oom,0,,,,0,12810,10594,2216,,,,measured
UD-Q6_K_XL,196608:default:1:base,196608,default,1,base,4,false,compute-buffer-oom,0,,,,0,13810,15616,1806,,,,measured
