arm,task,context_tokens,n_samples,string_match_all_recomputed,string_match_all_published,items_fully_correct,wilson_lo,wilson_hi,items_closed_think_block,closure_pct,closed_and_wrong,correct_without_closing,median_output_chars,prompt_n_median,evidence
UD-Q6_K_XL,niah,8192,25,100,100,25,86.68,100,25,100,0,0,364,8041,recomputed
UD-Q4_K_XL,niah,8192,25,100,100,25,86.68,100,25,100,0,0,371,8041,recomputed
UD-Q6_K_XL,niah,32768,25,100,100,25,86.68,100,25,100,0,0,386,32616,recomputed
UD-Q4_K_XL,niah,32768,25,100,100,25,86.68,100,25,100,0,0,379,32616,recomputed
UD-Q6_K_XL,niah,131072,12,100,100,12,75.75,100,12,100,0,0,463,130941,recomputed
UD-Q4_K_XL,niah,131072,12,100,100,12,75.75,100,12,100,0,0,388,130941,recomputed
UD-Q6_K_XL,mkniah,131072,12,100,100,12,75.75,100,11,91.7,0,1,373,130935,recomputed
UD-Q4_K_XL,mkniah,131072,12,91.67,91.67,11,64.61,98.51,8,66.7,0,3,386,130935,recomputed
UD-Q6_K_XL,mk100,131072,100,89,89,89,81.37,93.75,77,77,0,12,371,130936,recomputed
UD-Q4_K_XL,mk100,131072,100,79,79,79,70.02,85.83,60,60,0,19,386,130936,recomputed
UD-Q6_K_XL,mkmock,8192,3,100,100,3,43.85,100,0,0,0,3,93,8062,recomputed
UD-Q4_K_XL,mkmock,8192,3,100,100,3,43.85,100,0,0,0,3,93,8062,recomputed
UD-Q6_K_XL,variable_tracking,8192,25,27.2,,0,0,13.32,0,0,0,0,130,,recomputed
UD-Q4_K_XL,variable_tracking,8192,25,36.8,,0,0,13.32,0,0,0,0,127,,recomputed
