arm,ctx_requested_tokens,tensor_split,rep,ok,failure_mode,vram_peak_gpu0_mib,vram_peak_gpu1_mib,stranded_on_lighter_card_mib,binding_card,headroom_on_binding_card_mib,decode_tok_s,evidence
UD-Q4_K_XL,262144,"56,44",1,true,,13334,14780,1446,GPU1,1531,12.1,measured
UD-Q4_K_XL,262144,default,1,true,,12116,15094,2978,GPU1,1217,12.14,measured
UD-Q4_K_XL,245760,"56,44",1,true,,13042,14398,1356,GPU1,1913,12.01,measured
UD-Q4_K_XL,245760,default,1,true,,11844,15598,3754,GPU1,713,12.02,measured
UD-Q4_K_XL,229376,"56,44",1,true,,12754,14016,1262,GPU1,2295,11.81,measured
UD-Q4_K_XL,229376,default,1,true,,11574,15198,3624,GPU1,1113,11.83,measured
UD-Q4_K_XL,212992,"54,46",1,true,,12216,13878,1662,GPU1,2433,15.85,measured
UD-Q4_K_XL,212992,"56,44",1,true,,12460,13632,1172,GPU1,2679,15.96,measured
UD-Q4_K_XL,212992,"56,44",2,true,,12460,13632,1172,GPU1,2679,13.12,measured
UD-Q4_K_XL,212992,"56,44",3,true,,12460,13632,1172,GPU1,2679,13.33,measured
UD-Q4_K_XL,212992,"58,42",1,true,,12948,13148,200,GPU1,3163,15.88,measured
UD-Q4_K_XL,212992,"58,42",2,true,,12948,13148,200,GPU1,3163,12.87,measured
UD-Q4_K_XL,212992,"58,42",3,true,,12948,13148,200,GPU1,3163,13.33,measured
UD-Q4_K_XL,212992,"60,40",1,true,,13420,12672,748,GPU0,2891,15.6,measured
UD-Q4_K_XL,212992,"62,38",1,true,,13670,12418,1252,GPU0,2641,15.88,measured
UD-Q4_K_XL,212992,default,1,true,,11298,14796,3498,GPU1,1515,15.7,measured
UD-Q5_K_XL,262144,"54,46",1,true,,14660,15402,742,GPU1,909,10.82,measured
UD-Q5_K_XL,262144,"54,46",2,true,,14660,15402,742,GPU1,909,12.7,measured
UD-Q5_K_XL,262144,"54,46",3,true,,14660,15402,742,GPU1,909,12.94,measured
UD-Q5_K_XL,262144,"56,44",1,true,,14946,15112,166,GPU1,1199,10.78,measured
UD-Q5_K_XL,262144,"56,44",2,true,,14946,15112,166,GPU1,1199,12.51,measured
UD-Q5_K_XL,262144,"56,44",3,true,,14946,15112,166,GPU1,1199,12.91,measured
UD-Q5_K_XL,262144,"58,42",1,true,,15498,15470,28,GPU0,813,8.5,measured
UD-Q5_K_XL,262144,"60,40",1,true,,15260,14084,1176,GPU0,1051,10.67,measured
UD-Q5_K_XL,262144,"62,38",1,true,,15546,13796,1750,GPU0,765,10.44,measured
UD-Q5_K_XL,262144,default,1,false,compute-buffer-oom,13540,15070,1530,GPU1,1241,,measured
UD-Q6_K,262144,"54,46",1,false,compute-buffer-oom,15188,15848,660,GPU1,463,,measured
UD-Q6_K,262144,"56,44",1,true,,15528,15586,58,GPU1,725,10.22,measured
UD-Q6_K,262144,"56,44",2,true,,15528,15586,58,GPU1,725,14.99,measured
UD-Q6_K,262144,"56,44",3,true,,15528,15586,58,GPU1,725,11.71,measured
UD-Q6_K,262144,"58,42",1,true,,15322,15082,240,GPU0,989,10.75,measured
UD-Q6_K,262144,"58,42",1,true,,15322,15082,240,GPU0,989,11.48,measured
UD-Q6_K,262144,"58,42",2,true,,15322,15082,240,GPU0,989,14.16,measured
UD-Q6_K,262144,"58,42",3,true,,15322,15082,240,GPU0,989,11.9,measured
UD-Q6_K,262144,"60,40",1,false,compute-buffer-oom,11330,8914,2416,GPU0,4981,,measured
UD-Q6_K,262144,"62,38",1,false,compute-buffer-oom,11626,8616,3010,GPU0,4685,,measured
UD-Q6_K,262144,default,1,false,compute-buffer-oom,14024,15624,1600,GPU1,687,,measured
UD-Q6_K_XL,229376,"56,44",1,false,compute-buffer-oom,12120,11284,836,GPU0,4191,,measured
UD-Q6_K_XL,229376,"56,44",1,false,compute-buffer-oom,12120,11284,836,GPU0,4191,,measured
UD-Q6_K_XL,212992,"56,44",1,true,,15656,15414,242,GPU0,655,12.98,measured
UD-Q6_K_XL,196608,"52,48",1,false,compute-buffer-oom,15090,15538,448,GPU1,773,,measured
UD-Q6_K_XL,196608,"54,46",1,false,compute-buffer-oom,15644,14986,658,GPU0,667,,measured
UD-Q6_K_XL,196608,"56,44",1,true,,15416,15840,424,GPU1,471,17.26,measured
UD-Q6_K_XL,196608,"58,42",1,false,compute-buffer-oom,12810,10594,2216,GPU0,3501,,measured
UD-Q6_K_XL,196608,default,1,false,compute-buffer-oom,13810,15616,1806,GPU1,695,,measured
