arm,ctx_tokens,tensor_split,rep,ctxcp,mtp_acceptance,decode_tok_s,fitted_decode_tok_s,residual_tok_s,in_regression_set,draft_n,draft_n_accepted,imbalance_mib,evidence
UD-Q4_K_XL,262144,"56,44",1,4,0.6176,12.1044,11.515,0.5895,true,170,105,1446,measured
UD-Q4_K_XL,262144,default,1,4,0.6176,12.1372,11.515,0.6222,true,170,105,2978,measured
UD-Q4_K_XL,245760,"56,44",1,4,0.5642,12.0075,10.9107,1.0968,false,179,101,1356,measured
UD-Q4_K_XL,245760,default,1,4,0.5642,12.0182,10.9107,1.1075,false,179,101,3754,measured
UD-Q4_K_XL,229376,"56,44",1,4,0.4948,11.8068,10.1254,1.6814,false,192,95,1262,measured
UD-Q4_K_XL,229376,default,1,4,0.4948,11.8252,10.1254,1.6998,false,192,95,3624,measured
UD-Q4_K_XL,212992,"54,46",1,4,0.7905,15.8541,13.4715,2.3826,false,148,117,1662,measured
UD-Q4_K_XL,212992,"56,44",1,4,0.7905,15.9588,13.4715,2.4874,false,148,117,1172,measured
UD-Q4_K_XL,212992,"56,44",2,4,0.592,13.1168,11.2253,1.8915,false,174,103,1172,measured
UD-Q4_K_XL,212992,"56,44",3,4,0.592,13.3307,11.2253,2.1054,false,174,103,1172,measured
UD-Q4_K_XL,212992,"58,42",1,4,0.7905,15.88,13.4715,2.4085,false,148,117,200,measured
UD-Q4_K_XL,212992,"58,42",2,4,0.592,12.8713,11.2253,1.6461,false,174,103,200,measured
UD-Q4_K_XL,212992,"58,42",3,4,0.592,13.3262,11.2253,2.1009,false,174,103,200,measured
UD-Q4_K_XL,212992,"60,40",1,4,0.7905,15.6034,13.4715,2.132,false,148,117,748,measured
UD-Q4_K_XL,212992,"62,38",1,4,0.7905,15.8769,13.4715,2.4055,false,148,117,1252,measured
UD-Q4_K_XL,212992,default,1,4,0.7905,15.6992,13.4715,2.2277,false,148,117,3498,measured
UD-Q5_K_XL,262144,"54,46",1,4,0.516,10.8237,10.3653,0.4584,true,188,97,742,measured
UD-Q5_K_XL,262144,"54,46",2,4,0.6937,12.7043,12.3761,0.3282,true,160,111,742,measured
UD-Q5_K_XL,262144,"54,46",3,4,0.7338,12.9404,12.8299,0.1105,true,154,113,742,measured
UD-Q5_K_XL,262144,"56,44",1,4,0.516,10.7769,10.3653,0.4117,true,188,97,166,measured
UD-Q5_K_XL,262144,"56,44",2,4,0.6937,12.514,12.3761,0.1379,true,160,111,166,measured
UD-Q5_K_XL,262144,"56,44",3,4,0.7338,12.9139,12.8299,0.084,true,154,113,166,measured
UD-Q5_K_XL,262144,"58,42",1,4,0.516,8.5027,10.3653,-1.8625,true,188,97,28,measured
UD-Q5_K_XL,262144,"60,40",1,4,0.516,10.667,10.3653,0.3018,true,188,97,1176,measured
UD-Q5_K_XL,262144,"62,38",1,4,0.516,10.4401,10.3653,0.0749,true,188,97,1750,measured
UD-Q6_K,262144,"56,44",1,4,0.592,10.22,11.2253,-1.0053,true,174,103,58,measured
UD-Q6_K,262144,"56,44",2,4,0.9111,14.9922,14.8362,0.156,true,135,123,58,measured
UD-Q6_K,262144,"56,44",3,4,0.6105,11.7142,11.4346,0.2796,true,172,105,58,measured
UD-Q6_K,262144,"58,42",1,4,0.592,10.749,11.2253,-0.4763,true,174,103,240,measured
UD-Q6_K,262144,"58,42",1,32,0.592,11.4816,11.2253,0.2564,false,174,103,240,measured
UD-Q6_K,262144,"58,42",2,4,0.9111,14.1579,14.8362,-0.6782,true,135,123,240,measured
UD-Q6_K,262144,"58,42",3,4,0.6105,11.9023,11.4346,0.4677,true,172,105,240,measured
UD-Q6_K_XL,212992,"56,44",1,4,0.5886,12.9816,11.1868,1.7949,false,175,103,242,measured
UD-Q6_K_XL,196608,"56,44",1,4,0.8971,17.2599,14.6777,2.5822,false,136,122,424,measured
