config,quartile,len_lo_chars,len_hi_chars,n_problems,n_divergent,divergence_rate_pct,wilson_lo,wilson_hi,total_divergent,total_rate_pct,median_first_divergence_char,hazard_per_char,chars_per_divergence,evidence
MTP n=2,Q1,0,464,41,1,2.4,0.43,12.6,33,20.12,715,0.00029914,3343,recomputed
MTP n=2,Q2,464,700,41,2,4.9,1.35,16.14,33,20.12,715,0.00029914,3343,recomputed
MTP n=2,Q3,700,989,41,8,19.5,10.23,34.01,33,20.12,715,0.00029914,3343,recomputed
MTP n=2,Q4,989,3909,41,22,53.7,38.75,67.94,33,20.12,715,0.00029914,3343,recomputed
MTP n=4,Q1,0,464,41,1,2.4,0.43,12.6,33,20.12,730,0.00029521,3387,recomputed
MTP n=4,Q2,464,700,41,1,2.4,0.43,12.6,33,20.12,730,0.00029521,3387,recomputed
MTP n=4,Q3,700,989,41,11,26.8,15.69,41.93,33,20.12,730,0.00029521,3387,recomputed
MTP n=4,Q4,989,3909,41,20,48.8,34.25,63.52,33,20.12,730,0.00029521,3387,recomputed
DFlash2 n=4 (engine-confounded),Q1,0,464,41,1,2.4,0.43,12.6,32,19.51,722.5,0.0002876,3477,recomputed
DFlash2 n=4 (engine-confounded),Q2,464,700,41,1,2.4,0.43,12.6,32,19.51,722.5,0.0002876,3477,recomputed
DFlash2 n=4 (engine-confounded),Q3,700,989,41,11,26.8,15.69,41.93,32,19.51,722.5,0.0002876,3477,recomputed
DFlash2 n=4 (engine-confounded),Q4,989,3909,41,19,46.3,32.06,61.25,32,19.51,722.5,0.0002876,3477,recomputed
no-spec self-repeat (control),Q1,0,464,41,0,0,0,8.57,0,0,,0,,recomputed
no-spec self-repeat (control),Q2,464,700,41,0,0,0,8.57,0,0,,0,,recomputed
no-spec self-repeat (control),Q3,700,989,41,0,0,0,8.57,0,0,,0,,recomputed
no-spec self-repeat (control),Q4,989,3909,41,0,0,0,8.57,0,0,,0,,recomputed
