task_id,baseline_len_chars,diverged_mtp2,diverged_mtp4,diverged_dflash4,diverged_nospec_repeat,first_div_char_mtp2,first_div_char_mtp4,first_div_char_dflash4,first_div_char_nospec_repeat
HumanEval/0,542,false,false,false,false,,,,
HumanEval/1,946,false,false,false,false,,,,
HumanEval/2,374,false,false,false,false,,,,
HumanEval/3,590,false,false,false,false,,,,
HumanEval/4,601,false,false,false,false,,,,
HumanEval/5,507,false,false,false,false,,,,
HumanEval/6,830,false,false,false,false,,,,
HumanEval/7,393,false,false,false,false,,,,
HumanEval/8,541,false,false,false,false,,,,
HumanEval/9,571,false,false,false,false,,,,
HumanEval/10,1181,true,false,false,false,695,,,
HumanEval/11,441,false,false,false,false,,,,
HumanEval/12,462,false,false,false,false,,,,
HumanEval/13,304,false,false,false,false,,,,
HumanEval/14,282,false,false,false,false,,,,
HumanEval/15,280,false,false,false,false,,,,
HumanEval/16,309,false,false,false,false,,,,
HumanEval/17,855,false,true,true,false,,838,838,
HumanEval/18,539,false,false,false,false,,,,
HumanEval/19,807,false,true,true,false,,397,397,
HumanEval/20,1015,false,false,false,false,,,,
HumanEval/21,566,false,false,false,false,,,,
HumanEval/22,363,false,false,false,false,,,,
HumanEval/23,167,false,false,false,false,,,,
HumanEval/24,306,false,false,false,false,,,,
HumanEval/25,699,false,false,false,false,,,,
HumanEval/26,420,false,false,false,false,,,,
HumanEval/27,219,false,false,false,false,,,,
HumanEval/28,254,false,false,false,false,,,,
HumanEval/29,381,false,false,false,false,,,,
HumanEval/30,276,false,false,false,false,,,,
HumanEval/31,539,false,false,false,false,,,,
HumanEval/32,3290,true,true,true,false,995,1155,995,
HumanEval/33,851,true,true,true,false,448,448,448,
HumanEval/34,186,false,false,false,false,,,,
HumanEval/35,214,false,false,false,false,,,,
HumanEval/36,374,false,false,false,false,,,,
HumanEval/37,583,false,true,true,false,,357,357,
HumanEval/38,576,false,false,false,false,,,,
HumanEval/39,746,false,true,true,false,,599,599,
HumanEval/40,2939,true,true,true,false,888,888,888,
HumanEval/41,675,false,false,false,false,,,,
HumanEval/42,253,false,false,false,false,,,,
HumanEval/43,596,false,false,false,false,,,,
HumanEval/44,481,false,false,false,false,,,,
HumanEval/45,172,false,false,false,false,,,,
HumanEval/46,712,false,true,true,false,,598,598,
HumanEval/47,356,false,false,false,false,,,,
HumanEval/48,285,false,false,false,false,,,,
HumanEval/49,259,false,false,false,false,,,,
HumanEval/50,223,false,false,false,false,,,,
HumanEval/51,479,false,false,false,false,,,,
HumanEval/52,269,false,false,false,false,,,,
HumanEval/53,143,false,false,false,false,,,,
HumanEval/54,472,false,false,false,false,,,,
HumanEval/55,288,false,false,false,false,,,,
HumanEval/56,558,false,false,false,false,,,,
HumanEval/57,472,false,false,false,false,,,,
HumanEval/58,282,false,false,false,false,,,,
HumanEval/59,616,true,false,false,false,326,,,
HumanEval/60,273,false,false,false,false,,,,
HumanEval/61,564,false,false,false,false,,,,
HumanEval/62,386,false,false,false,false,,,,
HumanEval/63,638,false,false,false,false,,,,
HumanEval/64,621,false,false,false,false,,,,
HumanEval/65,741,false,true,true,false,,526,526,
HumanEval/66,424,false,false,false,false,,,,
HumanEval/67,930,false,false,false,false,,,,
HumanEval/68,1521,false,false,false,false,,,,
