arm,ctx_tokens,n_draft,tensor_split,valid,failure_mode,acceptance_pooled,implied_per_token_match_q,decode_tok_s_median,decode_spread_pct,draft_n_total,draft_accepted_total,prefill_frac,prompt_n,predicted_n_min,n_reps,evidence
UD-Q4_K_XL,131072,2,"56,44",true,,0.6727,0.7631,19.124,19.9,1225,824,0.9435,123670,415,3,measured
UD-Q4_K_XL,131072,4,"56,44",true,,0.5123,0.7497,20.252,23.6,1944,996,0.9435,123670,462,3,measured
UD-Q4_K_XL,131072,8,"56,44",true,,0.4036,0.7928,26.32,17.2,2899,1170,0.9435,123670,512,3,measured
UD-Q5_K_XL,131072,2,"54,46",true,,0.8139,0.8703,19.764,27.7,1166,949,0.9435,123670,512,3,measured
UD-Q5_K_XL,131072,4,"54,46",true,,0.4925,0.736,17.699,30,2061,1015,0.9435,123670,512,3,measured
UD-Q5_K_XL,131072,8,"54,46",true,,0.4485,0.8176,24.701,110,2546,1142,0.9435,123670,441,3,measured
UD-Q6_K,131072,2,"58,42",true,,0.7747,0.8414,18.507,34.1,1003,777,0.9435,123670,258,3,measured
UD-Q6_K,131072,4,"58,42",true,,0.5578,0.7797,20.111,50.6,1895,1057,0.9435,123670,512,3,measured
UD-Q6_K,131072,8,"58,42",true,,0.251,0.6776,15.331,74.8,4071,1022,0.9435,123670,512,3,measured
UD-Q6_K_XL,131072,2,"56,44",true,,0.759,0.8297,17.948,24.9,1216,923,0.9435,123670,512,3,measured
UD-Q6_K_XL,131072,4,"56,44",false,,0.6154,,19.677,75.1,1321,813,0.9435,123670,124,3,measured
UD-Q6_K_XL,131072,8,"56,44",true,,0.3316,0.7458,17.695,155.1,3350,1111,0.9435,123670,512,3,measured
UD-Q4_K_XL,196608,2,"56,44",true,,0.6662,0.7579,14.721,21.5,1312,874,0.9474,186270,512,3,measured
UD-Q4_K_XL,196608,4,"56,44",false,,0.4983,,14.646,66.9,1435,715,0.9474,186270,55,3,measured
UD-Q4_K_XL,196608,8,"56,44",true,,0.3725,0.7737,23.588,70.2,2545,948,0.9474,186270,248,3,measured
UD-Q5_K_XL,196608,2,"54,46",true,,0.7461,0.8199,14.254,26,1229,917,0.9474,186270,512,3,measured
UD-Q5_K_XL,196608,4,"54,46",true,,0.4286,0.6887,13.862,3.7,2256,967,0.9474,186270,512,3,measured
UD-Q5_K_XL,196608,8,"54,46",true,,0.5734,0.8746,26.199,68.7,2192,1257,0.9474,186270,512,3,measured
UD-Q6_K,196608,2,"58,42",true,,0.9198,0.9455,18.749,12.6,1060,975,0.9474,186270,485,3,measured
UD-Q6_K,196608,4,"58,42",true,,0.7899,0.9079,24.997,42.1,1471,1162,0.9474,186270,512,3,measured
UD-Q6_K,196608,8,"58,42",true,,0.5168,0.8507,33.985,166.1,2384,1232,0.9474,186270,512,3,measured
UD-Q6_K_XL,196608,2,"56,44",true,,0.7044,0.7879,13.87,33.8,1272,896,0.9474,186270,512,3,measured
UD-Q6_K_XL,196608,4,"56,44",true,,0.5558,0.7784,17.983,86.7,1900,1056,0.9474,186270,512,3,measured
UD-Q6_K_XL,196608,8,"56,44",false,load-or-health-failed,,,,,,,,,,0,measured
UD-Q6_K,262144,2,"58,42",true,,0.7381,0.8138,12.474,29.7,1237,913,0.9481,248527,512,3,measured
UD-Q6_K,262144,4,"58,42",true,,0.4915,0.7353,12.875,53,2065,1015,0.9481,248527,512,3,measured
UD-Q6_K,262144,8,"58,42",false,load-or-health-failed,,,,,,,,,,0,measured
