arm,ctx_tokens,n_draft,rep,decode_tok_s,predicted_n,draft_n,draft_n_accepted,acceptance_rep,cell_valid,evidence
UD-Q4_K_XL,131072,2,0,19.124,415,332,250,0.753,true,measured
UD-Q4_K_XL,131072,2,1,16.318,512,485,267,0.5505,true,measured
UD-Q4_K_XL,131072,2,2,19.567,512,408,307,0.7525,true,measured
UD-Q4_K_XL,131072,4,0,20.252,462,560,321,0.5732,true,measured
UD-Q4_K_XL,131072,4,1,16.545,512,764,319,0.4175,true,measured
UD-Q4_K_XL,131072,4,2,20.455,512,620,356,0.5742,true,measured
UD-Q4_K_XL,131072,8,0,26.028,512,999,386,0.3864,true,measured
UD-Q4_K_XL,131072,8,1,30.513,512,878,401,0.4567,true,measured
UD-Q4_K_XL,131072,8,2,26.32,512,1022,383,0.3748,true,measured
UD-Q5_K_XL,131072,2,0,19.764,512,373,324,0.8686,true,measured
UD-Q5_K_XL,131072,2,1,17.031,512,446,288,0.6457,true,measured
UD-Q5_K_XL,131072,2,2,21.746,512,347,337,0.9712,true,measured
UD-Q5_K_XL,131072,4,0,17.699,512,653,346,0.5299,true,measured
UD-Q5_K_XL,131072,4,1,15.471,512,799,311,0.3892,true,measured
UD-Q5_K_XL,131072,4,2,20.118,512,609,358,0.5878,true,measured
UD-Q5_K_XL,131072,8,0,20.176,441,1000,315,0.315,true,measured
UD-Q5_K_XL,131072,8,1,24.701,512,992,387,0.3901,true,measured
UD-Q5_K_XL,131072,8,2,42.375,512,554,440,0.7942,true,measured
UD-Q6_K,131072,2,0,18.507,512,413,304,0.7361,true,measured
UD-Q6_K,131072,2,1,16.611,258,238,138,0.5798,true,measured
UD-Q6_K,131072,2,2,22.275,512,352,335,0.9517,true,measured
UD-Q6_K,131072,4,0,20.111,512,567,369,0.6508,true,measured
UD-Q6_K,131072,4,1,24.462,512,530,378,0.7132,true,measured
UD-Q6_K,131072,4,2,16.242,512,798,310,0.3885,true,measured
UD-Q6_K,131072,8,0,14.66,512,1598,311,0.1946,true,measured
UD-Q6_K,131072,8,1,15.331,512,1551,316,0.2037,true,measured
UD-Q6_K,131072,8,2,25.62,512,922,395,0.4284,true,measured
UD-Q6_K_XL,131072,2,0,17.821,512,429,296,0.69,true,measured
UD-Q6_K_XL,131072,2,1,17.948,512,436,292,0.6697,true,measured
UD-Q6_K_XL,131072,2,2,22.262,512,351,335,0.9544,true,measured
UD-Q6_K_XL,131072,4,0,17.642,124,180,78,0.4333,false,measured
UD-Q6_K_XL,131072,4,1,19.677,512,700,335,0.4786,false,measured
UD-Q6_K_XL,131072,4,2,30.898,512,441,400,0.907,false,measured
UD-Q6_K_XL,131072,8,0,17.695,512,1232,357,0.2898,true,measured
UD-Q6_K_XL,131072,8,1,14.952,512,1524,318,0.2087,true,measured
UD-Q6_K_XL,131072,8,2,38.137,512,594,436,0.734,true,measured
UD-Q4_K_XL,196608,2,0,13.618,512,470,275,0.5851,true,measured
UD-Q4_K_XL,196608,2,1,16.548,512,396,312,0.7879,true,measured
UD-Q4_K_XL,196608,2,2,14.721,512,446,287,0.6435,true,measured
UD-Q4_K_XL,196608,4,0,14.646,512,724,329,0.4544,false,measured
UD-Q4_K_XL,196608,4,1,17.695,512,603,359,0.5954,false,measured
UD-Q4_K_XL,196608,4,2,10.605,55,108,27,0.25,false,measured
UD-Q4_K_XL,196608,8,0,23.588,512,904,396,0.4381,true,measured
UD-Q4_K_XL,196608,8,1,24.536,512,889,398,0.4477,true,measured
UD-Q4_K_XL,196608,8,2,14.416,248,752,154,0.2048,true,measured
UD-Q5_K_XL,196608,2,0,14.19,512,433,294,0.679,true,measured
UD-Q5_K_XL,196608,2,1,14.254,512,442,289,0.6538,true,measured
UD-Q5_K_XL,196608,2,2,17.878,512,354,334,0.9435,true,measured
UD-Q5_K_XL,196608,4,0,13.862,512,754,322,0.4271,true,measured
UD-Q5_K_XL,196608,4,1,13.74,512,765,319,0.417,true,measured
UD-Q5_K_XL,196608,4,2,14.253,512,737,326,0.4423,true,measured
UD-Q5_K_XL,196608,8,0,22.229,512,883,400,0.453,true,measured
UD-Q5_K_XL,196608,8,1,37.506,512,540,443,0.8204,true,measured
UD-Q5_K_XL,196608,8,2,26.199,512,769,414,0.5384,true,measured
UD-Q6_K,196608,2,0,16.729,512,384,318,0.8281,true,measured
UD-Q6_K,196608,2,1,18.829,485,328,320,0.9756,true,measured
UD-Q6_K,196608,2,2,18.749,512,348,337,0.9684,true,measured
UD-Q6_K,196608,4,0,17.715,512,594,361,0.6077,true,measured
UD-Q6_K,196608,4,1,24.997,512,441,400,0.907,true,measured
UD-Q6_K,196608,4,2,25.177,512,436,401,0.9197,true,measured
UD-Q6_K,196608,8,0,14.893,512,1306,346,0.2649,true,measured
UD-Q6_K,196608,8,1,39.637,512,501,448,0.8942,true,measured
UD-Q6_K,196608,8,2,33.985,512,577,438,0.7591,true,measured
UD-Q6_K_XL,196608,2,0,13.87,512,455,283,0.622,true,measured
UD-Q6_K_XL,196608,2,1,18.442,512,350,336,0.96,true,measured
UD-Q6_K_XL,196608,2,2,13.782,512,467,277,0.5931,true,measured
UD-Q6_K_XL,196608,4,0,13.823,512,820,305,0.372,true,measured
UD-Q6_K_XL,196608,4,1,25.814,512,442,400,0.905,true,measured
UD-Q6_K_XL,196608,4,2,17.983,512,638,351,0.5502,true,measured
UD-Q6_K,262144,2,0,12.017,512,445,288,0.6472,true,measured
UD-Q6_K,262144,2,1,15.584,512,354,334,0.9435,true,measured
UD-Q6_K,262144,2,2,12.474,512,438,291,0.6644,true,measured
UD-Q6_K,262144,4,0,11.806,512,801,310,0.387,true,measured
UD-Q6_K,262144,4,1,12.875,512,737,326,0.4423,true,measured
UD-Q6_K,262144,4,2,18.067,512,527,379,0.7192,true,measured
