mode,arm,spec_method,humaneval_pass1,humaneval_plus_pass1,plus_wilson_lo,plus_wilson_hi,empty_response_pct,n_problems,estimator,ledger_key,reproducibility
non-thinking (greedy),UD-Q3_K_XL,none,84.1,81.7,75.09,86.88,0,164,Wilson 95 % on the plus metric,Q3_K_XL,historical
non-thinking (greedy),UD-IQ4_XS,none,90.2,87.8,81.91,91.97,0,164,Wilson 95 % on the plus metric,IQ4fix,historical
non-thinking (greedy),UD-Q5_K_XL,none,93.3,90.9,85.46,94.38,0,164,Wilson 95 % on the plus metric,Q5_K_XL,historical
non-thinking (greedy),UD-Q6_K_XL,none,93.9,91.5,86.18,94.85,0,164,Wilson 95 % on the plus metric,Q6Kfix,historical
"non-thinking, context control","UD-Q6_K_XL @ ctx 32,768",none,93.3,90.2,84.74,93.91,0,164,Wilson 95 % on the plus metric,deep-32768,historical
"non-thinking, context control","UD-Q6_K_XL @ ctx 131,072",none,93.3,90.2,84.74,93.91,0,164,Wilson 95 % on the plus metric,deep-131072,historical
"thinking (greedy, max_tokens 4096)",UD-IQ4_XS,MTP,86.6,86,79.83,90.47,12.8,164,Wilson 95 % on the plus metric,withheld evidence record completed table (ledger row incomplete),historical
"thinking (greedy, max_tokens 4096)",UD-Q4_K_XL,MTP,87.8,86,79.83,90.47,12.2,164,Wilson 95 % on the plus metric,withheld evidence record completed table (ledger row incomplete),historical
"thinking (greedy, max_tokens 4096)",UD-Q5_K_XL,MTP,89,86,79.83,90.47,11,164,Wilson 95 % on the plus metric,withheld evidence record completed table (ledger row incomplete),historical
"thinking (greedy, max_tokens 4096)",UD-Q6_K_XL,MTP,90.9,88.4,82.61,92.46,7.9,164,Wilson 95 % on the plus metric,withheld evidence record completed table (ledger row incomplete),historical
"thinking (greedy, max_tokens 4096)",UD-IQ4_XS,DFlash2,89,87.8,81.91,91.97,10.4,164,Wilson 95 % on the plus metric,withheld evidence record completed table (ledger row incomplete),historical
"thinking (greedy, max_tokens 4096)",UD-Q4_K_XL,DFlash2,90.2,87.2,81.22,91.47,8.5,164,Wilson 95 % on the plus metric,withheld evidence record completed table (ledger row incomplete),historical
"thinking (greedy, max_tokens 4096)",vLLM NVFP4,none,85.4,84.1,77.78,88.95,12.8,164,Wilson 95 % on the plus metric,withheld evidence record completed table (ledger row incomplete),historical
EXCLUDED — dirty run,UD-Q6_K_XL (old),none,43.3,43.3,,,51.2,164,not scored — on the exclusion list,Q6_K,historical
